parameter,trial,seconds
botan51220,0,3.47
botan51220,1,3.48
botan51220,2,3.49
botan51220,3,3.48
botan51220,4,3.47
botan51220,5,3.49
botan51220,6,3.47
botan51220,7,3.48
botan51220,8,3.54
botan51220,9,3.53
mceliece51220,0,3.53
mceliece51220,1,3.59
mceliece51220,2,3.52
mceliece51220,3,3.53
mceliece51220,4,3.53
mceliece51220,5,3.51
mceliece51220,6,3.60
mceliece51220,7,3.59
mceliece51220,8,3.54
mceliece51220,9,3.52
botan102450,0,4.60
botan102450,1,4.70
botan102450,2,4.65
botan102450,3,4.70
botan102450,4,4.70
botan102450,5,4.56
botan102450,6,4.60
botan102450,7,4.57
botan102450,8,4.58
botan102450,9,4.71
mceliece102450,0,4.98
mceliece102450,1,4.82
mceliece102450,2,4.72
mceliece102450,3,4.75
mceliece102450,4,5.00
mceliece102450,5,4.81
mceliece102450,6,4.65
mceliece102450,7,4.69
mceliece102450,8,3.41
mceliece102450,9,4.81
botan348864,0,15.22
botan348864,1,14.74
botan348864,2,15.65
botan348864,3,14.83
botan348864,4,15.39
botan348864,5,15.29
botan348864,6,15.06
botan348864,7,15.13
botan348864,8,15.12
botan348864,9,15.33
mceliece348864,0,18.54
mceliece348864,1,19.80
mceliece348864,2,18.21
mceliece348864,3,18.67
mceliece348864,4,18.52
mceliece348864,5,18.74
mceliece348864,6,18.86
mceliece348864,7,18.74
mceliece348864,8,17.87
mceliece348864,9,18.50
botan460896,0,46.06
botan460896,1,45.67
botan460896,2,45.74
botan460896,3,45.12
botan460896,4,56.28
botan460896,5,46.28
botan460896,6,44.44
botan460896,7,44.13
botan460896,8,43.83
botan460896,9,44.24
mceliece460896,0,106.25
mceliece460896,1,88.21
mceliece460896,2,86.63
mceliece460896,3,91.23
mceliece460896,4,85.45
mceliece460896,5,87.92
mceliece460896,6,87.54
mceliece460896,7,87.19
mceliece460896,8,87.32
mceliece460896,9,90.17
botan6688128,0,85.46
botan6688128,1,83.77
botan6688128,2,80.16
botan6688128,3,81.85
botan6688128,4,83.17
botan6688128,5,83.62
botan6688128,6,80.17
botan6688128,7,82.02
botan6688128,8,80.78
botan6688128,9,82.39
mceliece6688128,0,131.22
mceliece6688128,1,129.23
mceliece6688128,2,130.08
mceliece6688128,3,128.32
mceliece6688128,4,130.69
mceliece6688128,5,128.53
mceliece6688128,6,128.05
mceliece6688128,7,128.69
mceliece6688128,8,129.89
mceliece6688128,9,137.70
botan6960119,0,78.80
botan6960119,1,84.47
botan6960119,2,79.12
botan6960119,3,78.90
botan6960119,4,78.37
botan6960119,5,81.64
botan6960119,6,79.76
botan6960119,7,78.35
botan6960119,8,81.16
botan6960119,9,79.61
mceliece6960119,0,121.81
mceliece6960119,1,120.19
mceliece6960119,2,124.62
mceliece6960119,3,120.70
mceliece6960119,4,115.47
mceliece6960119,5,120.95
mceliece6960119,6,116.39
mceliece6960119,7,121.41
mceliece6960119,8,129.95
mceliece6960119,9,115.65
botan8192128,0,101.40
botan8192128,1,101.80
botan8192128,2,100.35
botan8192128,3,100.73
botan8192128,4,98.83
botan8192128,5,97.59
botan8192128,6,100.56
botan8192128,7,99.77
botan8192128,8,104.55
botan8192128,9,99.84
mceliece8192128,0,134.57
mceliece8192128,1,129.77
mceliece8192128,2,128.55
mceliece8192128,3,131.51
mceliece8192128,4,128.86
mceliece8192128,5,132.00
mceliece8192128,6,129.44
mceliece8192128,7,132.53
mceliece8192128,8,128.28
mceliece8192128,9,129.44
